70.02000007,1000.014621,21.08199094,6.341827766,464.4444427,368.1986191,14.29215641,4.74369669,,,,,,,time,,,,,,,,base,alt,curr
70.30000007,999.8006838,100.5665741,100.5665741,100.5839081,176.5508575,176.5806427,4.742630959,0.984621638,0.850788515,V(3.19542519882495,0.008180328, -3.66341162724102),464.2830146,14.09340338,9.774893438,-1.944853345,139.9372254,368.1189182,21.08885057,96.15636063,6.339769336,14.0851306,14.51051275,14.0851306
70.38000007,999.606223,100.5647507,100.5647507,100.5820847,176.5479126,176.5774384,4.742630959,0.984624416,0.850813739,V(4.47363967801645,0.01139307, -5.12907800938609),464.2841709,13.99400655,9.774901661,-2.917241472,139.9364493,368.1237458,21.08865843,96.1550827,6.339890246,13.98556555,14.60973756,13.98556555
70.46000007,999.349308,100.5623398,100.5623398,100.5796738,176.5439301,176.5732117,4.742630959,0.984628085,0.850847095,V(5.75186241442697,0.014571547, -6.59487134734591),464.2854183,13.91448832,9.774910518,-3.695129414,139.9358137,368.130633,21.08840746,96.1537323,6.340026258,13.90591542,14.68911026,13.90591542
70.54000007,999.0304255,100.5593491,100.5593491,100.5766678,176.5389252,176.5679321,4.742630959,0.984632642,0.850888583,V(6.39092973370102,0.016079908, -7.32802756349746),464.2879088,13.83496655,9.774921398,-4.473008365,139.9351477,368.1394601,21.08809848,96.15208817,6.340196442,13.82625874,14.76848005,13.82625874
70.62000007,998.6492612,100.5557632,100.5557632,100.5730972,176.5329132,176.5616608,4.742630959,0.984638087,0.850938128,V(6.39056589288978,0.015930565, -7.3281511053445),464.2914706,13.75543939,9.774934302,-5.250906894,139.9344615,368.1503146,21.08773322,96.1501503,6.340401287,13.74659894,14.84784589,13.74659894
70.70000007,998.205769,100.5516052,100.5516052,100.5689316,176.5258484,176.5543518,4.742630959,0.984644421,0.850995805,V(6.39017235668806,0.0157817, -7.32828424106685),464.2961108,13.67590945,9.774949229,-6.028789644,139.9337451,368.1631405,21.08730996,96.14792633,6.340639596,13.66693523,14.92720736,13.66693523
70.78000007,997.700153,100.5468597,100.5468597,100.5641861,176.5177765,176.5460205,4.742630959,0.984651644,0.851061539,V(6.38994603849165,0.015632596, -7.32831127657668),464.3018729,13.59637378,9.77496618,-6.806713787,139.9330266,368.1780094,21.08683127,96.14540482,6.340913788,13.58726531,15.00657132,13.58726531
70.86000007,997.1324934,100.5415268,100.5415268,100.5588531,176.508667,176.5366516,4.742630959,0.984659755,0.851135329,V(6.38968935743268,0.015483595, -7.32841428751533),464.308832,13.51683495,9.774985155,-7.584623186,139.9322746,368.1948429,21.08629535,96.14259338,6.341221628,13.50759315,15.08592781,13.50759315
70.94000007,996.5022818,100.5356064,100.5356064,100.5529327,176.4985504,176.5262604,4.742630959,0.984668758,0.851217252,V(6.38945112696021,0.015334525, -7.32862675351677),464.316751,13.43729122,9.775006157,-8.362538143,139.9314924,368.2136799,21.0857023,96.13948441,6.341564307,13.42791911,15.1652776,13.42791911
71.02000007,995.8097826,100.5291061,100.5291061,100.5464325,176.487381,176.5148468,4.742630959,0.984678649,0.851307306,V(6.38889092782149,0.015185732, -7.3288763029234),464.325721,13.35774742,9.775029184,-9.140409618,139.9306777,368.2344854,21.08505284,96.13609314,6.341940218,13.34823882,15.24462643,13.34823882
